TRACK_SK,TRACK_TITLE,IS_CAREER_FLAG,COURSE_COUNT,TOTAL_TIME_HOURS,TOTAL_CHAPTERS,TOTAL_EXERCISES,TOTAL_VIDEOS,AVG_TIME_HOURS_PER_COURSE,AVG_CHAPTERS_PER_COURSE,AVG_EXERCISES_PER_COURSE,AVG_VIDEOS_PER_COURSE,TOTAL_NB_OF_SUBSCRIPTIONS,TOTAL_DATASETS_COUNT,SNAPSHOT_DATE_SK
33,Data Literacy Professional,false,1,2,3,31,10,2.000000,3.000000,31.000000,10.000000,110693,0,3
9,Applied Statistics in Python,false,1,4,4,47,14,4.000000,4.000000,47.000000,14.000000,10245,8,3
70,Llama Fundamentals,false,2,4,4,43,14,2.000000,2.000000,21.500000,7.000000,11214,0,3
3,AI Fundamentals,false,6,10,20,237,76,1.666667,3.333333,39.500000,12.666667,1101842,4,3
48,Developing Large Language Models,false,6,17,18,203,66,2.833333,3.000000,33.833333,11.000000,51933,1,3
21,Building APIs in Python,false,2,5,5,62,19,2.500000,2.500000,31.000000,9.500000,109146,0,3
107,Supervised Machine Learning in Python,false,6,25,25,295,87,4.166667,4.166667,49.166667,14.500000,479292,18,3
82,OpenAI Fundamentals,false,5,15,15,181,53,3.000000,3.000000,36.200000,10.600000,129514,4,3
49,EU AI Act Fundamentals,false,2,3,7,81,27,1.500000,3.500000,40.500000,13.500000,342922,2,3
56,GDPR and Data Privacy Fundamentals,false,1,2,3,38,12,2.000000,3.000000,38.000000,12.000000,19829,0,3
77,Machine Learning in Production in Python,false,1,4,4,51,16,4.000000,4.000000,51.000000,16.000000,9466,4,3
36,Data Scientist in Python,true,1,4,5,62,20,4.000000,5.000000,62.000000,20.000000,59625,4,3
11,Associate AI Engineer for Data Scientists,true,9,32,31,375,114,3.555556,3.444444,41.666667,12.666667,574926,27,3
18,Associate Python Developer,true,4,14,13,170,49,3.500000,3.250000,42.500000,12.250000,483001,4,3
61,Importing & Cleaning Data  in Python,false,2,7,7,94,28,3.500000,3.500000,47.000000,14.000000,459615,14,3
52,Finance Fundamentals in Python,false,2,9,8,108,32,4.500000,4.000000,54.000000,16.000000,110071,7,3
89,Python Programming Toolbox,false,1,4,4,48,14,4.000000,4.000000,48.000000,14.000000,71617,2,3
75,Machine Learning Scientist in Python,true,21,85,85,1068,314,4.047619,4.047619,50.857143,14.952381,1259811,67,3
16,Associate Data Scientist  in Python,true,23,90,91,1170,327,3.913043,3.956522,50.869565,14.217391,11148729,111,3
72,Machine Learning Engineer,true,3,13,12,146,46,4.333333,4.000000,48.666667,15.333333,236129,9,3
26,Data Analyst  in Python,true,9,36,37,488,132,4.000000,4.111111,54.222222,14.666667,8901288,54,3
22,Building Applications with OOP in Python,false,3,10,9,106,32,3.333333,3.000000,35.333333,10.666667,22783,0,3
81,Natural Language Processing in Python,false,5,20,20,269,75,4.000000,4.000000,53.800000,15.000000,199019,14,3
1,AI Agent Fundamentals,false,2,4,6,56,20,2.000000,3.000000,28.000000,10.000000,16649,2,3
17,Associate Data Scientist in R,true,1,3,4,50,16,3.000000,4.000000,50.000000,16.000000,68280,0,3
31,Data Engineer in Python,true,5,16,16,207,62,3.200000,3.200000,41.400000,12.400000,625287,14,3
12,Associate AI Engineer for Developers,true,9,26,28,343,103,2.888889,3.111111,38.111111,11.444444,240913,10,3
69,Keras Fundamentals,false,4,16,16,204,57,4.000000,4.000000,51.000000,14.250000,130914,9,3
41,Data Visualization in Python,false,2,8,8,88,28,4.000000,4.000000,44.000000,14.000000,371317,9,3
60,Image Processing in Python,false,3,12,12,153,44,4.000000,4.000000,51.000000,14.666667,111132,6,3
2,AI Business Fundamentals,false,3,4,9,108,35,1.333333,3.000000,36.000000,11.666667,711580,3,3
87,Python Programming,false,2,7,7,88,26,3.500000,3.500000,44.000000,13.000000,72663,0,3
34,Data Manipulation  in Python,false,2,8,8,107,30,4.000000,4.000000,53.500000,15.000000,687214,28,3
13,Associate Data Analyst in SQL,true,2,5,8,91,30,2.500000,4.000000,45.500000,15.000000,295974,0,3
84,Professional Data Engineer in Python,true,2,7,6,73,22,3.500000,3.000000,36.500000,11.000000,29260,2,3
94,Responsible AI Foundations,false,1,1,3,30,11,1.000000,3.000000,30.000000,11.000000,48015,1,3
44,Deep Learning in Python,false,5,18,18,231,70,3.600000,3.600000,46.200000,14.000000,100257,8,3
14,Associate Data Engineer in SQL,true,2,4,7,73,25,2.000000,3.500000,36.500000,12.500000,531782,2,3
47,Developing Applications with LangChain,false,3,9,9,105,33,3.000000,3.000000,35.000000,11.000000,44633,5,3
88,Python Programming Fundamentals,false,2,7,6,85,24,3.500000,3.000000,42.500000,12.000000,395247,2,3
58,GitHub Foundations,false,2,5,6,72,22,2.500000,3.000000,36.000000,11.000000,33863,0,3
32,Data Governance Fundamentals,false,1,2,3,38,12,2.000000,3.000000,38.000000,12.000000,19829,0,3
113,Time Series in Python,false,5,20,22,283,78,4.000000,4.400000,56.600000,15.600000,230445,17,3
73,Machine Learning Fundamentals in Python,false,4,16,16,202,59,4.000000,4.000000,50.500000,14.750000,454865,14,3
105,Statistics Fundamentals  in Python,false,5,20,20,260,73,4.000000,4.000000,52.000000,14.600000,320837,20,3
93,Reinforcement Learning in Python,false,3,12,12,139,43,4.000000,4.000000,46.333333,14.333333,14525,0,3
86,Python Developer,true,2,8,7,96,28,4.000000,3.500000,48.000000,14.000000,92954,1,3
38,Data Skills for Business,false,2,4,7,82,26,2.000000,3.500000,41.000000,13.000000,405600,1,3
20,Big Data with PySpark,false,2,8,7,92,27,4.000000,3.500000,46.000000,13.500000,39999,4,3
28,Data Analyst in Databricks,true,1,2,3,32,11,2.000000,3.000000,32.000000,11.000000,304088,2,3
46,Developing AI Applications,false,8,21,24,284,87,2.625000,3.000000,35.500000,10.875000,241471,9,3
85,Python Data Fundamentals,false,7,28,29,387,102,4.000000,4.142857,55.285714,14.571429,8804864,47,3
23,ChatGPT Fundamentals,false,2,2,5,56,19,1.000000,2.500000,28.000000,9.500000,455996,2,3
114,Understanding Data Topics,false,4,8,14,156,52,2.000000,3.500000,39.000000,13.000000,1564608,3,3
